,ID,Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Nonzero
213,F00000523,1785,0,1,3,10,20.0,0,2,6
214,F00000525,1786,0,1,3,15,40.0,0,2,6
215,F00000533,1898,0,0,3,20,54.0,0,2,5
216,F00000534,1898,0,0,3,30,36.0,0,1,5
217,F00000536,1898,0,0,3,35,50.0,0,2,5
218,F00000538,1898,0,0,3,40,,0,2,5
219,F00000540,1898,0,0,3,30,52.0,0,3,5
220,F00000542,1898,0,0,3,20,50.0,0,2,5
221,F00000548,1898,0,1,3,15,,0,2,6
222,F00000549,1898,0,1,3,20,46.0,0,1,6
223,F00000554,2015,0,0,3,5,49.0,0,2,5
224,F00000558,2015,0,0,3,50,47.0,0,1,5
225,F00000562,2015,0,0,3,35,52.0,0,2,5
226,F00000566,2015,0,1,3,20,,0,1,6
227,F00000567,2015,0,1,3,20,54.0,0,2,6
228,F00000568,2016,0,1,3,40,50.0,0,2,6
229,F00000574,2015,0,1,3,30,52.0,0,3,6
230,F00000577,2016,0,1,3,40,43.0,0,1,6
231,F00000579,2139,0,0,3,20,,0,3,5
232,F00000583,2138,0,1,3,5,52.0,0,1,6
233,F00000584,2139,0,1,3,10,50.0,0,2,6
234,F00000586,2139,0,1,3,25,51.0,0,2,6
235,F00000589,2138,0,1,3,60,48.0,0,2,6
236,F00000592,2267,0,0,3,15,53.0,0,1,5
237,F00000594,2267,0,0,3,15,57.0,0,1,5
238,F00000599,2267,0,0,3,30,49.0,0,1,5
239,F00000600,2267,0,0,3,35,48.0,0,2,5
240,F00000603,2267,0,0,3,20,57.0,0,2,5
241,F00000604,2267,0,1,3,10,49.0,0,2,6
242,F00000607,2267,0,1,3,40,48.0,0,1,6
243,F00000608,2267,0,1,3,20,51.0,0,2,6
244,F00000610,2401,0,0,3,10,54.0,0,2,5
245,F00000613,2401,0,0,3,20,51.0,0,2,5
246,F00000614,2401,0,0,3,40,56.0,0,2,5
247,F00000615,2402,0,0,3,20,57.0,0,3,5
248,F00000622,2402,0,1,3,10,58.0,0,1,6
249,F00000625,2401,0,1,3,40,,0,2,6
250,F00000630,2542,0,0,3,50,53.0,0,1,5
251,F00000631,2542,0,0,3,60,59.0,0,3,5
252,F00000632,2541,0,0,3,10,40.0,0,1,5
253,F00000633,2542,0,0,3,15,35.0,0,2,5
254,F00000637,2541,0,1,3,40,50.0,0,2,6
255,F00000638,2541,0,1,3,80,47.0,0,2,6
256,F00000642,2688,0,0,3,20,,0,1,5
257,F00000643,2688,0,0,3,20,42.0,0,2,5
258,F00000645,2688,0,0,3,20,56.0,0,1,5
259,F00000647,2687,0,0,3,20,,0,2,5
260,F00000648,2688,0,0,3,30,54.0,0,2,5
261,F00000652,2688,0,1,3,20,51.0,0,2,6
262,F00000664,2840,0,1,3,25,45.0,0,2,6
263,F00000665,2840,0,1,3,30,52.0,0,2,6
264,F00000666,2840,0,1,3,20,57.0,0,2,6
265,F00000667,2999,0,0,3,40,56.0,0,1,5
266,F00000669,2999,0,0,3,5,54.0,0,1,5
267,F00000670,2999,0,0,3,10,47.0,0,2,5
268,F00000672,2999,0,0,3,25,59.0,0,2,5
269,F00000675,2999,0,1,3,20,57.0,0,2,6
270,F00000676,2999,0,1,3,40,58.0,0,2,6
271,F00000682,3165,0,0,3,30,,0,1,5
272,F00000684,3165,0,1,3,20,53.0,0,1,6
273,F00000685,3165,0,1,3,40,50.0,0,2,6
274,F00000687,3337,0,0,3,20,,0,2,5
275,F00000689,3337,0,0,3,40,58.0,0,2,5
276,F00000697,3515,0,0,3,20,59.0,0,2,5
277,F00000701,3702,0,0,3,20,57.0,0,2,5
278,F00000702,3702,0,0,3,20,64.0,0,2,5
279,F00000703,3702,0,1,3,40,62.0,0,3,6
280,F00000704,3896,0,0,3,10,59.0,0,2,5
281,F00000705,3895,0,0,3,15,58.0,0,1,5
282,F00000707,4096,0,1,3,15,40.0,0,3,6
283,F00000708,151,1,0,3,15,16.0,0,2,6
284,F00000714,151,1,1,3,20,16.0,0,3,7
285,F00000715,151,1,1,3,30,18.0,0,1,7
286,F00000717,168,1,0,3,30,14.0,0,2,6
287,F00000720,188,1,1,3,20,6.0,0,2,7
288,F00000727,209,1,0,3,35,24.0,0,3,6
289,F00000729,209,1,0,3,10,25.0,0,3,6
290,F00000730,209,1,1,3,50,24.0,0,1,7
291,F00000732,231,1,0,3,5,,0,2,6
292,F00000733,231,1,0,3,15,22.0,0,3,6
293,F00000736,232,1,0,3,30,23.0,0,3,6
294,F00000742,256,1,1,3,15,6.0,0,2,7
295,F00000744,256,1,1,3,60,25.0,0,2,7
296,F00000745,283,1,0,3,25,12.0,0,1,6
297,F00000751,283,1,1,3,50,20.0,0,3,7
298,F00000752,283,1,1,3,50,25.0,0,2,7
299,F00000753,283,1,1,3,60,,0,2,7
300,F00000754,283,1,1,3,20,21.0,0,2,7
301,F00000755,311,1,0,3,20,5.0,0,2,6
302,F00000756,312,1,0,3,40,29.0,0,2,6
303,F00000759,312,1,1,3,5,30.0,0,2,7
304,F00000762,311,1,1,3,20,26.0,0,2,7
305,F00000768,342,1,0,3,15,25.0,0,1,6
306,F00000769,342,1,0,3,15,30.0,0,2,6
307,F00000770,342,1,0,3,30,,0,3,6
308,F00000773,342,1,1,3,5,6.0,0,2,7
309,F00000776,342,1,1,3,35,24.0,0,1,7
310,F00000778,375,1,0,3,5,5.0,0,3,6
311,F00000781,375,1,0,3,20,20.0,0,2,6
312,F00000785,375,1,0,3,50,26.0,0,2,6
313,F00000789,375,1,1,3,5,16.0,0,1,7
314,F00000790,411,1,0,3,10,33.0,0,1,6
315,F00000794,410,1,1,3,5,5.0,0,2,7
316,F00000796,410,1,1,3,5,28.0,0,2,7
317,F00000797,410,1,1,3,20,19.0,0,2,7
318,F00000798,411,1,1,3,20,24.0,0,2,7
319,F00000799,411,1,1,3,20,28.0,0,1,7
320,F00000800,411,1,1,3,25,32.0,0,2,7
321,F00000801,410,1,1,3,30,27.0,0,2,7
322,F00000807,448,1,0,3,20,31.0,0,2,6
323,F00000810,448,1,1,3,5,16.0,0,1,7
324,F00000811,448,1,1,3,15,21.0,0,1,7
325,F00000812,448,1,1,3,20,9.0,0,2,7
326,F00000813,448,1,1,3,25,,0,3,7
327,F00000814,448,1,1,3,25,23.0,0,2,7
328,F00000823,488,1,1,3,10,27.0,0,1,7
329,F00000826,488,1,1,3,30,35.0,0,2,7
330,F00000831,531,1,0,3,5,35.0,0,2,6
331,F00000832,531,1,0,3,10,13.0,0,2,6
332,F00000837,531,1,1,3,5,,0,2,7
333,F00000839,531,1,1,3,50,33.0,0,2,7
334,F00000842,577,1,0,3,20,18.0,0,3,6
335,F00000845,577,1,0,3,20,41.0,0,1,6
336,F00000847,577,1,0,3,30,,0,2,6
337,F00000851,577,1,1,3,25,31.0,0,2,7
338,F00000854,626,1,0,3,15,41.0,0,3,6
339,F00000855,625,1,0,3,20,30.0,0,2,6
340,F00000856,626,1,0,3,60,20.0,0,2,6
341,F00000857,626,1,0,3,20,5.0,0,2,6
342,F00000858,626,1,0,3,20,24.0,0,1,6
343,F00000859,625,1,1,3,10,9.0,0,1,7
344,F00000860,625,1,1,3,10,24.0,0,2,7
345,F00000861,625,1,1,3,10,,0,2,7
346,F00000862,625,1,1,3,15,17.0,0,3,7
347,F00000863,626,1,1,3,20,24.0,0,3,7
348,F00000864,626,1,1,3,30,39.0,0,2,7
349,F00000865,626,1,1,3,40,6.0,0,1,7
350,F00000868,625,1,1,3,20,20.0,0,1,7
351,F00000869,677,1,0,3,15,27.0,0,3,6
352,F00000871,677,1,0,3,40,20.0,0,2,6
353,F00000872,677,1,0,3,40,33.0,0,1,6
354,F00000879,677,1,1,3,60,31.0,0,2,7
355,F00000882,732,1,0,3,5,25.0,0,3,6
356,F00000883,731,1,0,3,5,27.0,0,2,6
357,F00000885,732,1,0,3,10,,0,3,6
358,F00000887,731,1,0,3,35,,0,2,6
359,F00000891,731,1,1,3,5,23.0,0,2,7
360,F00000892,731,1,1,3,15,36.0,0,2,7
361,F00000896,789,1,0,3,5,35.0,0,2,6
362,F00000902,789,1,1,3,5,22.0,0,2,7
363,F00000903,789,1,1,3,5,41.0,0,2,7
364,F00000907,790,1,1,3,60,,0,2,7
365,F00000908,789,1,1,3,60,30.0,0,2,7
366,F00000913,789,1,1,3,20,32.0,0,2,7
367,F00000915,851,1,0,3,20,,0,3,6
368,F00000918,851,1,0,3,35,28.0,0,2,6
369,F00000922,851,1,1,3,15,26.0,0,2,7
370,F00000926,851,1,1,3,60,37.0,0,2,7
371,F00000930,916,1,0,3,20,30.0,0,1,6
372,F00000931,915,1,0,3,30,14.0,0,2,6
373,F00000932,916,1,0,3,30,20.0,0,1,6
374,F00000933,915,1,0,3,30,31.0,0,2,6
375,F00000934,915,1,0,3,30,39.0,0,2,6
376,F00000935,916,1,0,3,40,29.0,0,1,6
377,F00000940,916,1,0,3,20,40.0,0,3,6
378,F00000941,916,1,0,3,10,,0,2,6
379,F00000944,915,1,1,3,5,17.0,0,2,7
380,F00000947,916,1,1,3,20,37.0,0,2,7
381,F00000948,915,1,1,3,30,28.0,0,2,7
382,F00000949,916,1,1,3,30,32.0,0,2,7
383,F00000950,915,1,1,3,40,5.0,0,2,7
384,F00000955,984,1,0,3,10,27.0,0,2,6
385,F00000960,984,1,0,3,40,37.0,0,2,6
386,F00000961,984,1,1,3,5,22.0,0,2,7
387,F00000966,984,1,1,3,25,27.0,0,2,7
388,F00000967,984,1,1,3,35,43.0,0,1,7
389,F00000970,984,1,1,3,15,35.0,0,2,7
390,F00000972,1056,1,0,3,30,44.0,0,2,6
391,F00000977,1056,1,1,3,10,37.0,0,1,7
392,F00000980,1056,1,1,3,25,26.0,0,3,7
393,F00000983,1056,1,1,3,30,41.0,0,2,7
394,F00000984,1056,1,1,3,40,40.0,0,2,7
395,F00000989,1132,1,0,3,5,21.0,0,2,6
396,F00000990,1132,1,1,3,5,32.0,0,2,7
397,F00000994,1132,1,1,3,20,28.0,0,2,7
398,F00001001,1212,1,0,3,20,28.0,0,1,6
399,F00001002,1212,1,0,3,25,49.0,0,2,6
400,F00001006,1212,1,0,3,20,35.0,0,1,6
401,F00001007,1212,1,0,3,25,43.0,0,3,6
402,F00001009,1212,1,1,3,5,30.0,0,3,7
403,F00001010,1212,1,1,3,5,43.0,0,2,7
404,F00001015,1212,1,1,3,30,15.0,0,2,7
405,F00001016,1212,1,1,3,30,,0,2,7
406,F00001017,1212,1,1,3,40,25.0,0,1,7
407,F00001018,1212,1,1,3,40,43.0,0,3,7
408,F00001020,1212,1,1,3,40,41.0,0,2,7
409,F00001025,1296,1,0,3,10,,0,2,6
410,F00001033,1296,1,1,3,10,30.0,0,2,7
411,F00001034,1296,1,1,3,10,32.0,0,1,7
412,F00001036,1296,1,1,3,10,41.0,0,2,7
413,F00001038,1297,1,1,3,35,,0,2,7
414,F00001042,1385,1,0,3,5,42.0,0,2,6
415,F00001043,1385,1,0,3,10,30.0,0,2,6
416,F00001047,1385,1,0,3,20,20.0,0,1,6
417,F00001050,1385,1,0,3,25,45.0,0,2,6
418,F00001052,1385,1,0,3,30,,0,1,6
419,F00001054,1385,1,0,3,20,49.0,0,2,6
420,F00001058,1385,1,1,3,20,22.0,0,1,7
421,F00001060,1385,1,1,3,25,43.0,0,3,7
422,F00001067,1478,1,0,3,40,50.0,0,2,6
423,F00001070,1478,1,0,3,20,47.0,0,2,6
424,F00001072,1478,1,0,3,40,42.0,0,2,6
425,F00001075,1478,1,1,3,10,37.0,0,2,7
426,F00001081,1478,1,1,3,20,40.0,0,1,7
427,F00001083,1575,1,0,3,10,31.0,0,3,6
428,F00001085,1576,1,0,3,30,25.0,0,1,6
429,F00001088,1576,1,0,3,40,,0,1,6
430,F00001092,1575,1,1,3,25,47.0,0,2,7
431,F00001093,1575,1,1,3,40,23.0,0,2,7
432,F00001095,1575,1,1,3,40,47.0,0,2,7
433,F00001096,1575,1,1,3,20,46.0,0,1,7
434,F00001101,1678,1,0,3,10,50.0,0,3,6
435,F00001102,1678,1,1,3,10,20.0,0,1,7
436,F00001103,1678,1,1,3,15,35.0,0,2,7
437,F00001108,1678,1,1,3,45,,0,2,7
438,F00001109,1678,1,1,3,10,40.0,0,2,7
439,F00001110,1678,1,1,3,15,45.0,0,2,7
440,F00001115,1785,1,0,3,15,48.0,0,2,6
441,F00001117,1785,1,0,3,20,33.0,0,1,6
442,F00001122,1785,1,1,3,5,18.0,0,2,7
443,F00001123,1785,1,1,3,10,,0,1,7
444,F00001125,1786,1,1,3,10,43.0,0,2,7
445,F00001129,1785,1,1,3,40,35.0,0,2,7
446,F00001133,1898,1,0,3,5,50.0,0,2,6
447,F00001137,1898,1,0,3,20,21.0,0,2,6
448,F00001141,1898,1,1,3,15,54.0,0,2,7
449,F00001145,2015,1,0,3,10,20.0,0,3,6
450,F00001148,2016,1,0,3,30,43.0,0,1,6
451,F00001150,2016,1,0,3,20,42.0,0,1,6
452,F00001155,2015,1,1,3,20,53.0,0,2,7
453,F00001159,2015,1,1,3,40,49.0,0,2,7
454,F00001160,2138,1,0,3,5,46.0,0,3,6
455,F00001161,2138,1,0,3,10,51.0,0,1,6
456,F00001163,2139,1,0,3,30,38.0,0,1,6
457,F00001164,2139,1,0,3,40,35.0,0,3,6
458,F00001167,2139,1,0,3,20,35.0,0,2,6
459,F00001168,2139,1,0,3,20,49.0,0,1,6
460,F00001171,2139,1,1,3,10,44.0,0,1,7
461,F00001172,2138,1,1,3,15,25.0,0,1,7
462,F00001174,2138,1,1,3,20,35.0,0,1,7
463,F00001175,2138,1,1,3,20,41.0,0,2,7
464,F00001178,2138,1,1,3,30,51.0,0,2,7
465,F00001180,2267,1,0,3,20,30.0,0,2,6
466,F00001185,2267,1,0,3,30,54.0,0,1,6
467,F00001189,2267,1,1,3,15,28.0,0,1,7
468,F00001192,2267,1,1,3,10,18.0,0,3,7
469,F00001195,2402,1,0,3,10,40.0,0,2,6
470,F00001196,2401,1,0,3,15,35.0,0,2,6
471,F00001202,2541,1,0,3,10,,0,1,6
472,F00001204,2542,1,0,3,15,54.0,0,3,6
473,F00001208,2541,1,0,3,40,49.0,0,2,6
474,F00001213,2542,1,1,3,20,50.0,0,2,7
475,F00001215,2688,1,0,3,10,40.0,0,2,6
476,F00001217,2688,1,0,3,20,39.0,0,1,6
477,F00001218,2688,1,0,3,25,43.0,0,2,6
478,F00001219,2688,1,0,3,30,,0,1,6
479,F00001222,2688,1,1,3,5,50.0,0,2,7
480,F00001223,2687,1,1,3,10,38.0,0,3,7
481,F00001226,2688,1,1,3,35,45.0,0,1,7
482,F00001227,2840,1,0,3,15,59.0,0,3,6
483,F00001228,2840,1,0,3,20,23.0,0,2,6
484,F00001230,2840,1,1,3,50,53.0,0,2,7
485,F00001231,2840,1,1,3,20,57.0,0,3,7
486,F00001234,2999,1,0,3,10,22.0,0,2,6
487,F00001236,2999,1,1,3,10,43.0,0,1,7
488,F00001237,2999,1,1,3,15,40.0,0,3,7
489,F00001238,2999,1,1,3,20,36.0,0,1,7
490,F00001239,2999,1,1,3,20,44.0,0,1,7
491,F00001240,2999,1,1,3,20,49.0,0,1,7
492,F00001241,2999,1,1,3,30,50.0,0,2,7
493,F00001242,2999,1,1,3,30,55.0,0,2,7
494,F00001244,3164,1,0,3,40,49.0,0,3,6
495,F00001249,3337,1,0,3,10,50.0,0,3,6
496,F00001252,3337,1,0,3,30,59.0,0,2,6
497,F00001257,3516,1,0,3,15,45.0,0,1,6
498,F00001259,3516,1,1,3,10,59.0,0,3,7
499,F00001261,3516,1,1,3,15,,0,1,7
500,F00001263,3702,1,0,3,30,43.0,0,2,6
501,F00001265,3895,1,0,3,10,42.0,0,2,6
502,F00001266,3895,1,0,3,20,34.0,0,2,6
503,F00001269,4097,1,0,3,5,30.0,0,3,6
504,F00001272,151,0,0,2,40,18.0,2,2,6
505,F00001274,209,0,0,2,20,21.0,4,2,6
506,F00001277,256,0,0,2,20,,3,1,6
