,ID,Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage,Nonzero
120,F00000232,789,0,0,3,25,34.0,0,1,1,5
121,F00000234,790,0,0,3,20,33.0,0,2,1,5
122,F00000235,789,0,0,3,60,40.0,0,1,1,5
123,F00000240,789,0,1,3,25,27.0,0,2,0,5
124,F00000241,790,0,1,3,40,28.0,0,1,0,5
125,F00000245,789,0,1,3,30,30.0,0,1,1,6
126,F00000247,789,0,1,3,20,,0,2,1,6
127,F00000249,851,0,0,3,20,32.0,0,3,0,4
128,F00000250,851,0,0,3,20,34.0,0,3,0,4
129,F00000253,851,0,0,3,25,42.0,0,2,0,4
130,F00000257,851,0,0,3,60,42.0,0,1,1,5
131,F00000261,851,0,1,3,15,27.0,0,3,0,5
132,F00000262,851,0,1,3,20,21.0,0,1,0,5
133,F00000263,851,0,1,3,20,31.0,0,2,0,5
134,F00000264,851,0,1,3,30,,0,1,0,5
135,F00000266,850,0,1,3,50,,0,2,0,5
136,F00000267,851,0,1,3,55,36.0,0,2,0,5
137,F00000268,851,0,1,3,30,35.0,0,2,1,6
138,F00000269,851,0,1,3,20,34.0,0,1,1,6
139,F00000276,915,0,0,3,50,41.0,0,3,0,4
140,F00000277,915,0,0,3,40,37.0,0,3,1,5
141,F00000278,915,0,0,3,20,37.0,0,1,1,5
142,F00000279,916,0,1,3,20,25.0,0,1,0,5
143,F00000281,915,0,1,3,30,29.0,0,3,0,5
144,F00000283,915,0,1,3,40,34.0,0,1,0,5
145,F00000285,915,0,1,3,40,41.0,0,2,0,5
146,F00000287,915,0,1,3,60,46.0,0,2,0,5
147,F00000290,984,0,0,3,25,30.0,0,2,0,4
148,F00000292,984,0,0,3,25,44.0,0,2,1,5
149,F00000293,984,0,0,3,40,38.0,0,2,2,5
150,F00000296,984,0,1,3,20,28.0,0,2,0,5
151,F00000297,984,0,1,3,25,35.0,0,2,0,5
152,F00000299,984,0,1,3,30,24.0,0,1,0,5
153,F00000305,1056,0,0,3,20,27.0,0,3,0,4
154,F00000310,1056,0,0,3,40,41.0,0,1,1,5
155,F00000311,1056,0,0,3,40,,0,2,1,5
156,F00000313,1056,0,1,3,10,29.0,0,2,0,5
157,F00000315,1056,0,1,3,25,45.0,0,2,0,5
158,F00000317,1056,0,1,3,30,46.0,0,2,0,5
159,F00000318,1056,0,1,3,35,30.0,0,2,0,5
160,F00000320,1056,0,1,3,50,,0,2,0,5
161,F00000321,1056,0,1,3,60,45.0,0,1,0,5
162,F00000323,1056,0,1,3,15,35.0,0,2,1,6
163,F00000324,1056,0,1,3,50,,0,2,1,6
164,F00000327,1056,0,1,3,30,47.0,0,3,1,6
165,F00000329,1056,0,1,3,10,42.0,0,3,2,6
166,F00000330,1056,0,1,3,20,40.0,0,3,2,6
167,F00000331,1056,0,1,3,30,27.0,0,2,2,6
168,F00000332,1132,0,0,3,5,41.0,0,2,0,4
169,F00000333,1132,0,0,3,5,,0,2,0,4
170,F00000334,1132,0,0,3,10,44.0,0,2,0,4
171,F00000335,1132,0,0,3,20,28.0,0,2,0,4
172,F00000337,1132,0,0,3,25,39.0,0,2,0,4
173,F00000338,1132,0,0,3,30,25.0,0,2,0,4
174,F00000339,1132,0,0,3,30,44.0,0,3,0,4
175,F00000342,1132,0,0,3,50,37.0,0,2,0,4
176,F00000343,1132,0,0,3,40,38.0,0,2,1,5
177,F00000345,1132,0,0,3,40,36.0,0,3,1,5
178,F00000346,1132,0,0,3,20,46.0,0,1,1,5
179,F00000348,1132,0,0,3,40,45.0,0,1,2,5
180,F00000352,1132,0,1,3,5,30.0,0,1,0,5
181,F00000353,1132,0,1,3,20,17.0,0,1,0,5
182,F00000354,1132,0,1,3,20,37.0,0,3,0,5
183,F00000355,1132,0,1,3,25,29.0,0,3,0,5
184,F00000356,1132,0,1,3,30,33.0,0,2,0,5
185,F00000358,1132,0,1,3,80,38.0,0,2,0,5
186,F00000360,1132,0,1,3,30,43.0,0,2,2,6
187,F00000362,1212,0,0,3,5,42.0,0,2,0,4
188,F00000363,1212,0,0,3,20,50.0,0,2,0,4
189,F00000364,1212,0,0,3,35,39.0,0,1,0,4
190,F00000366,1212,0,0,3,10,10.0,0,1,1,5
191,F00000369,1212,0,0,3,20,45.0,0,3,1,5
192,F00000370,1212,0,0,3,40,19.0,0,1,1,5
193,F00000371,1212,0,0,3,40,,0,3,1,5
194,F00000372,1212,0,0,3,40,46.0,0,2,1,5
195,F00000376,1212,0,0,3,40,45.0,0,3,1,5
196,F00000377,1212,0,0,3,50,43.0,0,2,1,5
197,F00000378,1212,0,0,3,20,42.0,0,3,2,5
198,F00000379,1212,0,1,3,5,37.0,0,2,0,5
199,F00000380,1212,0,1,3,20,24.0,0,2,0,5
200,F00000383,1212,0,1,3,30,36.0,0,3,0,5
201,F00000385,1212,0,1,3,45,39.0,0,2,0,5
202,F00000386,1212,0,1,3,50,44.0,0,2,0,5
203,F00000387,1212,0,1,3,50,47.0,0,1,0,5
204,F00000389,1212,0,1,3,15,,0,2,1,6
205,F00000390,1212,0,1,3,20,,0,1,1,6
206,F00000391,1212,0,1,3,20,,0,2,1,6
207,F00000392,1212,0,1,3,30,44.0,0,2,2,6
208,F00000396,1296,0,0,3,20,43.0,0,2,0,4
209,F00000397,1297,0,0,3,45,43.0,0,2,0,4
210,F00000398,1296,0,0,3,5,42.0,0,2,1,5
211,F00000399,1296,0,0,3,10,,0,2,1,5
212,F00000401,1297,0,0,3,20,42.0,0,2,1,5
213,F00000402,1296,0,0,3,25,32.0,0,2,1,5
214,F00000407,1296,0,1,3,35,39.0,0,3,0,5
215,F00000409,1296,0,1,3,40,,0,2,0,5
216,F00000413,1296,0,1,3,10,41.0,0,2,1,6
217,F00000417,1385,0,0,3,15,31.0,0,2,0,4
218,F00000419,1385,0,0,3,25,30.0,0,2,0,4
219,F00000420,1385,0,0,3,25,46.0,0,3,0,4
220,F00000421,1385,0,0,3,30,43.0,0,1,0,4
221,F00000422,1385,0,0,3,40,30.0,0,2,0,4
222,F00000427,1385,0,0,3,10,45.0,0,2,2,5
223,F00000428,1385,0,0,3,40,45.0,0,3,2,5
224,F00000431,1385,0,1,3,5,42.0,0,3,0,5
225,F00000432,1385,0,1,3,10,30.0,0,2,0,5
226,F00000433,1385,0,1,3,10,40.0,0,2,0,5
227,F00000435,1385,0,1,3,25,32.0,0,2,0,5
228,F00000436,1385,0,1,3,30,49.0,0,1,0,5
229,F00000437,1385,0,1,3,35,35.0,0,3,0,5
230,F00000439,1385,0,1,3,50,47.0,0,2,0,5
231,F00000442,1385,0,1,3,20,44.0,0,2,1,6
232,F00000444,1385,0,1,3,40,40.0,0,2,1,6
233,F00000445,1385,0,1,3,10,40.0,0,2,1,6
234,F00000449,1478,0,0,3,10,25.0,0,1,0,4
235,F00000452,1478,0,0,3,15,53.0,0,1,0,4
236,F00000453,1478,0,0,3,20,46.0,0,1,0,4
237,F00000455,1478,0,0,3,40,24.0,0,2,0,4
238,F00000456,1478,0,0,3,30,50.0,0,1,1,5
239,F00000457,1478,0,0,3,20,37.0,0,1,1,5
240,F00000458,1478,0,0,3,35,48.0,0,1,1,5
241,F00000459,1478,0,0,3,30,34.0,0,2,1,5
242,F00000461,1478,0,0,3,30,47.0,0,3,2,5
243,F00000462,1478,0,1,3,5,44.0,0,2,0,5
244,F00000464,1478,0,1,3,20,19.0,0,3,0,5
245,F00000467,1478,0,1,3,30,51.0,0,1,0,5
246,F00000469,1478,0,1,3,60,45.0,0,2,0,5
247,F00000470,1478,0,1,3,60,50.0,0,1,0,5
248,F00000471,1478,0,1,3,20,41.0,0,2,2,6
249,F00000473,1576,0,0,3,15,41.0,0,2,0,4
250,F00000476,1576,0,0,3,30,,0,2,0,4
251,F00000478,1576,0,0,3,50,,0,2,0,4
252,F00000479,1576,0,0,3,80,38.0,0,3,0,4
253,F00000481,1576,0,0,3,30,50.0,0,3,1,5
254,F00000482,1576,0,0,3,20,48.0,0,3,1,5
255,F00000484,1576,0,0,3,25,48.0,0,2,1,5
256,F00000485,1575,0,1,3,5,36.0,0,3,0,5
257,F00000487,1576,0,1,3,10,37.0,0,1,0,5
258,F00000490,1576,0,1,3,30,41.0,0,2,0,5
259,F00000492,1576,0,1,3,60,45.0,0,2,0,5
260,F00000493,1576,0,1,3,40,48.0,0,3,1,6
261,F00000495,1678,0,0,3,10,50.0,0,2,0,4
262,F00000498,1678,0,0,3,20,43.0,0,2,1,5
263,F00000501,1678,0,0,3,10,40.0,0,2,1,5
264,F00000504,1678,0,0,3,50,39.0,0,2,2,5
265,F00000505,1678,0,0,3,5,44.0,0,2,2,5
266,F00000506,1678,0,1,3,5,41.0,0,3,0,5
267,F00000507,1678,0,1,3,10,45.0,0,1,0,5
268,F00000508,1678,0,1,3,15,42.0,0,2,0,5
269,F00000510,1678,0,1,3,20,44.0,0,3,0,5
270,F00000513,1678,0,1,3,50,,0,2,1,6
271,F00000514,1785,0,0,3,10,20.0,0,1,0,4
272,F00000516,1786,0,0,3,50,47.0,0,2,0,4
273,F00000517,1785,0,0,3,20,51.0,0,2,1,5
274,F00000518,1786,0,0,3,40,51.0,0,1,1,5
275,F00000520,1785,0,0,3,40,50.0,0,1,1,5
276,F00000521,1786,0,0,3,20,45.0,0,3,1,5
277,F00000524,1786,0,1,3,15,36.0,0,2,0,5
278,F00000526,1785,0,1,3,40,30.0,0,1,0,5
279,F00000527,1785,0,1,3,40,51.0,0,1,0,5
280,F00000528,1785,0,1,3,40,53.0,0,2,0,5
281,F00000529,1786,0,1,3,45,34.0,0,2,0,5
282,F00000530,1785,0,1,3,20,,0,2,1,6
283,F00000531,1785,0,1,3,20,,0,1,1,6
284,F00000532,1898,0,0,3,15,49.0,0,3,0,4
285,F00000535,1898,0,0,3,30,51.0,0,2,0,4
286,F00000537,1898,0,0,3,35,54.0,0,3,0,4
287,F00000539,1898,0,0,3,40,45.0,0,3,1,5
288,F00000541,1898,0,0,3,15,52.0,0,1,1,5
289,F00000543,1898,0,0,3,30,49.0,0,2,1,5
290,F00000544,1898,0,0,3,30,50.0,0,2,2,5
291,F00000545,1898,0,1,3,5,50.0,0,1,0,5
292,F00000547,1898,0,1,3,10,45.0,0,2,0,5
293,F00000550,1898,0,1,3,5,50.0,0,2,1,6
294,F00000551,1898,0,1,3,40,48.0,0,2,1,6
295,F00000552,1898,0,1,3,20,41.0,0,3,1,6
296,F00000553,1898,0,1,3,25,41.0,0,1,2,6
297,F00000555,2015,0,0,3,15,38.0,0,2,0,4
298,F00000556,2015,0,0,3,20,,0,3,0,4
299,F00000557,2015,0,0,3,50,,0,2,0,4
300,F00000559,2015,0,0,3,60,53.0,0,2,0,4
301,F00000560,2016,0,0,3,30,,0,2,1,5
302,F00000561,2016,0,0,3,20,40.0,0,1,1,5
303,F00000563,2016,0,0,3,15,47.0,0,2,1,5
304,F00000564,2015,0,0,3,30,50.0,0,2,1,5
305,F00000565,2016,0,0,3,60,54.0,0,2,2,5
306,F00000569,2015,0,1,3,60,41.0,0,1,0,5
307,F00000570,2016,0,1,3,20,49.0,0,1,1,6
308,F00000571,2015,0,1,3,15,53.0,0,2,1,6
309,F00000572,2016,0,1,3,30,52.0,0,3,1,6
310,F00000573,2015,0,1,3,20,50.0,0,3,1,6
311,F00000575,2015,0,1,3,20,50.0,0,2,1,6
312,F00000576,2015,0,1,3,40,51.0,0,1,1,6
313,F00000578,2139,0,0,3,40,,0,1,0,4
314,F00000580,2138,0,0,3,20,55.0,0,3,1,5
315,F00000581,2138,0,0,3,40,52.0,0,1,1,5
316,F00000582,2138,0,0,3,20,56.0,0,1,2,5
317,F00000585,2139,0,1,3,20,20.0,0,1,0,5
318,F00000590,2139,0,1,3,30,43.0,0,2,1,6
319,F00000591,2267,0,0,3,10,53.0,0,1,0,4
320,F00000595,2267,0,0,3,20,25.0,0,3,0,4
321,F00000596,2267,0,0,3,20,46.0,0,2,0,4
322,F00000597,2267,0,0,3,20,54.0,0,2,0,4
323,F00000598,2267,0,0,3,20,61.0,0,2,0,4
324,F00000601,2267,0,0,3,40,48.0,0,2,0,4
325,F00000602,2267,0,0,3,90,55.0,0,1,0,4
326,F00000605,2267,0,1,3,15,,0,1,0,5
327,F00000606,2267,0,1,3,10,40.0,0,1,1,6
328,F00000609,2402,0,0,3,5,54.0,0,2,0,4
329,F00000611,2401,0,0,3,15,,0,2,0,4
330,F00000612,2401,0,0,3,20,35.0,0,2,0,4
331,F00000616,2401,0,0,3,30,45.0,0,2,1,5
332,F00000617,2401,0,0,3,60,50.0,0,2,1,5
333,F00000618,2401,0,0,3,40,50.0,0,2,1,5
334,F00000619,2402,0,0,3,5,50.0,0,1,1,5
335,F00000620,2402,0,0,3,60,55.0,0,2,1,5
336,F00000621,2401,0,1,3,5,52.0,0,2,0,5
337,F00000623,2401,0,1,3,15,18.0,0,2,0,5
338,F00000624,2402,0,1,3,20,44.0,0,2,0,5
339,F00000626,2402,0,1,3,40,56.0,0,2,0,5
340,F00000627,2542,0,0,3,10,57.0,0,2,0,4
341,F00000628,2541,0,0,3,15,,0,1,0,4
342,F00000629,2542,0,0,3,40,57.0,0,2,0,4
343,F00000634,2541,0,0,3,20,55.0,0,1,1,5
344,F00000635,2541,0,1,3,5,30.0,0,2,0,5
345,F00000636,2541,0,1,3,30,53.0,0,1,0,5
346,F00000639,2542,0,1,3,80,56.0,0,1,0,5
347,F00000640,2542,0,1,3,10,54.0,0,2,1,6
348,F00000641,2541,0,1,3,5,55.0,0,1,1,6
349,F00000644,2688,0,0,3,30,62.0,0,2,0,4
350,F00000646,2688,0,0,3,40,56.0,0,2,1,5
351,F00000650,2688,0,0,3,20,54.0,0,2,2,5
352,F00000651,2687,0,1,3,30,60.0,0,2,0,5
353,F00000653,2687,0,1,3,30,,0,3,1,6
354,F00000654,2688,0,1,3,40,56.0,0,3,1,6
355,F00000655,2688,0,1,3,40,51.0,0,2,2,6
356,F00000656,2840,0,0,3,10,57.0,0,2,0,4
357,F00000657,2840,0,0,3,15,55.0,0,1,0,4
358,F00000658,2840,0,0,3,30,63.0,0,1,0,4
359,F00000660,2840,0,0,3,20,53.0,0,1,1,5
360,F00000661,2840,0,0,3,20,54.0,0,2,1,5
361,F00000662,2840,0,0,3,30,60.0,0,1,2,5
362,F00000663,2840,0,1,3,10,46.0,0,1,0,5
363,F00000668,2999,0,0,3,30,60.0,0,2,1,5
364,F00000671,2999,0,0,3,30,61.0,0,2,1,5
365,F00000673,2999,0,1,3,15,49.0,0,2,0,5
366,F00000674,2999,0,1,3,20,44.0,0,3,0,5
367,F00000677,2999,0,1,3,10,,0,3,1,6
368,F00000678,3164,0,0,3,5,54.0,0,1,0,4
369,F00000679,3165,0,0,3,20,62.0,0,3,0,4
370,F00000680,3165,0,0,3,30,57.0,0,1,0,4
371,F00000681,3165,0,0,3,5,,0,3,1,5
372,F00000686,3164,0,1,3,55,60.0,0,2,0,5
373,F00000688,3336,0,0,3,5,56.0,0,2,1,5
374,F00000690,3337,0,0,3,20,62.0,0,3,2,5
375,F00000691,3337,0,1,3,10,66.0,0,2,0,5
376,F00000692,3337,0,1,3,20,63.0,0,3,0,5
377,F00000693,3337,0,1,3,15,60.0,0,3,2,6
378,F00000694,3516,0,0,3,20,50.0,0,2,0,4
379,F00000695,3516,0,0,3,30,55.0,0,2,0,4
380,F00000696,3516,0,0,3,20,59.0,0,2,1,5
381,F00000698,3702,0,0,3,10,60.0,0,3,0,4
382,F00000699,3702,0,0,3,15,64.0,0,2,0,4
383,F00000700,3702,0,0,3,20,63.0,0,2,1,5
384,F00000706,3896,0,0,3,20,61.0,0,1,0,4
385,F00000709,151,1,0,3,20,25.0,0,1,0,5
386,F00000710,150,1,0,3,30,13.0,0,2,0,5
387,F00000711,151,1,0,3,60,15.0,0,2,0,5
388,F00000712,150,1,1,3,5,13.0,0,1,0,6
389,F00000713,150,1,1,3,20,10.0,0,3,0,6
390,F00000716,150,1,1,3,40,21.0,0,1,0,6
391,F00000718,169,1,1,3,10,21.0,0,2,0,6
392,F00000719,168,1,1,3,20,7.0,0,3,0,6
393,F00000721,188,1,1,3,20,22.0,0,3,0,6
394,F00000722,188,1,1,3,35,25.0,0,2,0,6
395,F00000723,188,1,1,3,40,26.0,0,3,0,6
396,F00000724,188,1,1,3,60,19.0,0,3,0,6
397,F00000725,209,1,0,3,20,17.0,0,2,0,5
398,F00000726,209,1,0,3,30,18.0,0,2,0,5
399,F00000728,209,1,0,3,40,24.0,0,2,0,5
400,F00000731,209,1,1,3,55,21.0,0,2,0,6
401,F00000734,232,1,0,3,30,19.0,0,3,0,5
402,F00000735,232,1,0,3,30,21.0,0,1,0,5
403,F00000737,232,1,0,3,35,22.0,0,1,0,5
404,F00000738,232,1,1,3,5,5.0,0,1,0,6
405,F00000739,232,1,1,3,20,13.0,0,1,0,6
406,F00000740,231,1,1,3,25,20.0,0,2,0,6
407,F00000741,257,1,0,3,15,15.0,0,3,0,5
408,F00000746,283,1,1,3,10,15.0,0,1,0,6
409,F00000747,283,1,1,3,10,,0,2,0,6
410,F00000748,283,1,1,3,20,24.0,0,2,0,6
411,F00000749,283,1,1,3,25,25.0,0,1,0,6
412,F00000750,283,1,1,3,40,19.0,0,2,0,6
413,F00000757,312,1,1,3,5,15.0,0,3,0,6
414,F00000758,311,1,1,3,5,28.0,0,3,0,6
415,F00000760,312,1,1,3,15,25.0,0,2,0,6
416,F00000761,311,1,1,3,20,24.0,0,2,0,6
417,F00000763,311,1,1,3,20,27.0,0,2,0,6
418,F00000764,312,1,1,3,30,18.0,0,1,0,6
419,F00000765,311,1,1,3,45,18.0,0,2,0,6
420,F00000766,312,1,1,3,60,29.0,0,3,0,6
421,F00000767,342,1,0,3,5,23.0,0,2,0,5
422,F00000771,342,1,0,3,40,20.0,0,1,0,5
423,F00000772,342,1,0,3,50,17.0,0,1,0,5
424,F00000774,342,1,1,3,10,30.0,0,3,0,6
425,F00000775,342,1,1,3,20,10.0,0,2,0,6
426,F00000777,342,1,1,3,20,25.0,0,3,1,7
427,F00000779,375,1,0,3,15,15.0,0,2,0,5
428,F00000780,375,1,0,3,15,,0,2,0,5
429,F00000782,375,1,0,3,30,26.0,0,3,0,5
430,F00000783,375,1,0,3,35,24.0,0,2,0,5
431,F00000784,375,1,0,3,35,29.0,0,3,0,5
432,F00000786,375,1,0,3,55,25.0,0,2,0,5
433,F00000787,375,1,1,3,20,13.0,0,1,0,6
434,F00000788,375,1,1,3,25,29.0,0,2,0,6
435,F00000791,411,1,0,3,25,33.0,0,2,0,5
436,F00000792,410,1,0,3,30,28.0,0,2,0,5
437,F00000793,410,1,0,3,20,26.0,0,1,1,6
438,F00000795,410,1,1,3,5,27.0,0,2,0,6
439,F00000802,448,1,0,3,5,22.0,0,3,0,5
440,F00000803,448,1,0,3,5,26.0,0,2,0,5
441,F00000804,448,1,0,3,10,,0,2,0,5
442,F00000805,448,1,0,3,20,12.0,0,1,0,5
443,F00000806,448,1,0,3,20,13.0,0,2,0,5
444,F00000808,448,1,0,3,20,34.0,0,3,0,5
445,F00000809,448,1,0,3,40,34.0,0,3,0,5
446,F00000815,448,1,1,3,50,,0,3,0,6
447,F00000816,448,1,1,3,20,8.0,0,1,1,7
448,F00000817,488,1,0,3,25,28.0,0,2,0,5
449,F00000818,488,1,0,3,10,6.0,0,2,1,6
450,F00000819,489,1,0,3,15,29.0,0,2,1,6
451,F00000820,489,1,0,3,35,31.0,0,2,1,6
452,F00000821,489,1,0,3,10,28.0,0,2,1,6
453,F00000822,488,1,0,3,40,18.0,0,1,2,6
454,F00000824,488,1,1,3,25,,0,2,0,6
455,F00000825,488,1,1,3,25,33.0,0,2,0,6
456,F00000827,488,1,1,3,40,17.0,0,2,0,6
457,F00000828,488,1,1,3,40,37.0,0,3,0,6
458,F00000830,488,1,1,3,40,30.0,0,3,2,7
459,F00000833,531,1,0,3,15,14.0,0,2,0,5
460,F00000834,531,1,0,3,35,29.0,0,2,0,5
461,F00000836,531,1,0,3,50,33.0,0,3,0,5
462,F00000838,531,1,1,3,30,23.0,0,1,0,6
463,F00000840,577,1,0,3,10,29.0,0,2,0,5
464,F00000843,577,1,0,3,35,32.0,0,2,0,5
465,F00000844,577,1,0,3,40,,0,3,1,6
466,F00000846,577,1,0,3,20,31.0,0,3,2,6
467,F00000848,577,1,1,3,5,,0,2,0,6
468,F00000849,577,1,1,3,20,,0,2,0,6
469,F00000852,577,1,1,3,15,31.0,0,1,1,7
470,F00000853,625,1,0,3,5,10.0,0,1,0,5
471,F00000866,626,1,1,3,40,31.0,0,1,0,6
